x	EXP	NUM
15.4503	-40.95	-55.33
15.4695	-53.64	-60.71
15.5243	-78.44	-74.76
15.5812	-108.18	-88.69
15.6129	-145.41	-96.34
15.621	-157.3	-98.3
15.6272	-159.37	-99.81
15.7063	-170.88	-111.38
15.7462	-166.29	-114.01
15.7706	-160.08	-114.51
15.8088	-162.49	-114.01
15.8996	-169.56	-107.97
15.8998	-169.6	-107.98
15.9283	-182.89	-108.86
16.0143	-158.47	-107.31
16.0477	-143.12	-104.44
16.0534	-130.34	-103.69
16.086	-119.39	-96.83
16.1147	-105.95	-78.67
16.1434	-90.08	-71.83
16.1729	-87.54	-64.34
16.2581	-94.4	-41.23
16.2753	-93.37	-38.2
16.3297	-67.29	-27.98
16.3948	-44.26	-15.01
16.4301	-31.17	-7.04
16.4444	-29.84	-5.95
16.5598	-32.64	4.5
16.6882	-12.2	17.37
16.6906	-11.32	17.52
16.7742	-7.07	23.2
16.8784	4.18	30.46
16.9749	17.35	36.89
17.0377	18.39	44.21
17.1003	26.78	51.03
17.1572	29.36	57
17.19	43.39	60.29
17.2186	56.2	62.93
17.2198	56.51	63.02
17.2994	75.24	79.47
17.3791	85.58	94.84
17.3907	84.82	97.12
17.5213	86.86	118.75
17.5384	138.56	122.25
17.5484	102.1	124.79
17.5498	102.37	124.75
17.5896	174.75	124.12
17.7375	153.41	125.13
17.766	126.91	125.77
17.8208	114.44	128.03
17.8229	114.63	128.18
17.9082	136.59	99.32
17.9498	137.8	90.56
17.9651	132.71	81.77
17.9993	105.56	63.17
18.0334	75.83	45.12
18.1074	50.62	7.16
18.1935	20.39	-34.87
18.1984	18.29	-37.11
18.2781	-20.49	-68.63
18.2939	-31.24	-73.97
18.3008	-44.41	-77.58
18.352	-118.1	-97.58
18.3799	-85.35	-103.29
18.3805	-85.14	-103.38
18.4089	-132.97	-107.59
18.443	-168.52	-111.53
18.5512	-169.82	-119.39
18.6237	-158.04	-121.22
18.6251	-157.55	-121.22
18.6523	-160.31	-120.84
18.7901	-178.24	-104.42
18.7957	-178.78	-103.32
18.81	-168.47	-100.45
18.8925	-137.53	-82.65
18.9324	-119.44	-73.03
18.9534	-105.49	-67.5
18.9551	-103.28	-67.04
18.9821	-90.31	-59.3
19.0824	-88.64	-30.06
19.103	-87.13	-25
19.1541	-65.89	-13.96
19.1998	-45.78	-5.69
19.2975	-28.44	7.39
19.3136	-30.27	8.96
19.4558	-29.64	18.29
19.4982	-7.29	20.16
19.5842	-3.18	23.65
19.6549	-2.51	26.83
19.6846	5.73	28.34
19.7744	18.16	34.06
19.8199	22.87	38.2
19.8996	31.08	50.98
19.9223	33.54	55.64
19.9792	40.12	61.51
19.9906	41.48	62.1
