/SiMCosta RJ-3 buoy 
/L1 data
/missing = NULL
/latitude = -22.983083
/longitude = -43.174472
/Sensor Mount = Buoy
/Ocean Sensors Orientation = Downward
/Ocean Sensors Average Measuring Depth = 0.5m
/Acknowledging or Crediting SiMCosta as Information Source : (Product or data name) courtesy of the Brazilian Coastal Monitoring System - SiMCosta  (www.simcosta.furg.br)
/Disclaimer: All products published on this website are not intended to be used for navigational or operational purposes.
/*Magnetic Declination Reference: Chulliat, A., S. Macmillan, P. Alken, C. Beggan, M. Nair, B. Hamilton, A. Woods, V. Ridley, S. Maus and A. Thomson, 2014. The US/UK World Magnetic Model for 2015-2020, NOAA National Geophysical Data Center, Boulder, CO, doi: 10.7289/V5TH8JNW 
/YEAR MONTH DAY HOUR MINUTE SECOND = Date/Time Data Acquisition (UTC)
/Hsig: Significant Wave Height (m)
/TP: Wave Peak Period (s)
YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Hsig,TP
2016,7,28,4,25,0,1.18,6.70
2016,7,28,5,25,0,1.18,6.90
2016,7,28,6,25,0,1.09,6.90
2016,7,28,7,25,0,1.17,7.10
2016,7,28,8,25,0,1.23,14.30
2016,7,28,9,25,0,1.30,14.30
2016,7,28,10,25,0,1.61,13.30
2016,7,28,11,25,0,1.75,11.10
2016,7,28,12,25,0,1.84,11.10
2016,7,28,13,25,0,1.95,13.30
2016,7,28,15,25,0,2.16,11.80
2016,7,28,16,25,0,2.11,13.30
2016,7,28,17,25,0,2.10,13.30
2016,7,28,18,25,0,2.00,13.30
2016,7,28,19,25,0,1.71,13.30
2016,7,28,20,25,0,2.08,12.50
2016,7,28,21,25,0,1.83,11.10
2016,7,28,22,25,0,1.71,12.50
2016,7,28,23,25,0,1.74,11.80
2016,7,29,0,25,0,1.77,13.30
2016,7,29,1,25,0,1.87,11.10
2016,7,29,2,25,0,1.82,12.50
2016,7,29,3,25,0,1.83,11.80
2016,7,29,4,25,0,1.42,13.30
2016,7,29,5,25,0,1.49,13.30
2016,7,29,6,25,0,1.86,11.80
2016,7,29,7,25,0,1.83,11.80
2016,7,29,8,25,0,1.89,12.50
2016,7,29,9,25,0,1.99,14.30
2016,7,29,10,25,0,2.16,13.30
2016,7,29,11,25,0,2.19,14.30
2016,7,29,12,25,0,2.04,13.30
2016,7,29,13,25,0,2.19,13.30
2016,7,29,14,25,0,2.07,14.30
2016,7,29,15,25,0,2.34,14.30
2016,7,29,16,25,0,2.53,14.30
2016,7,29,17,25,0,2.28,15.40
2016,7,29,18,25,0,2.62,14.30
2016,7,29,19,25,0,2.28,16.70
2016,7,29,20,25,0,2.35,15.40
2016,7,29,21,25,0,2.52,15.40
2016,7,29,22,25,0,2.56,15.40
2016,7,29,23,25,0,2.20,15.40
2016,7,30,0,25,0,2.26,15.40
2016,7,30,1,25,0,2.15,15.40
2016,7,30,2,25,0,2.37,15.40
2016,7,30,3,25,0,2.23,15.40
2016,7,30,4,25,0,2.52,15.40
2016,7,30,5,25,0,2.27,15.40
2016,7,30,6,25,0,2.51,14.30
2016,7,30,7,25,0,2.25,15.40
2016,7,30,8,25,0,2.53,15.40
2016,7,30,9,25,0,2.72,16.70
2016,7,30,10,25,0,2.25,16.70
2016,7,30,11,25,0,2.59,14.30
2016,7,30,12,25,0,2.29,15.40
2016,7,30,13,25,0,2.66,15.40
2016,7,30,14,25,0,2.50,14.30
2016,7,30,15,25,0,2.37,15.40
2016,7,30,16,25,0,2.83,16.70
2016,7,30,17,25,0,2.89,15.40
2016,7,30,18,25,0,2.83,15.40
2016,7,30,19,25,0,2.44,15.40
2016,7,30,20,25,0,2.56,14.30
2016,7,30,21,25,0,2.59,14.30
2016,7,30,22,25,0,2.78,15.40
2016,7,30,23,25,0,2.85,15.40
2016,7,31,0,25,0,2.42,15.40
2016,7,31,1,25,0,2.40,15.40
2016,7,31,2,25,0,2.64,15.40
2016,7,31,3,25,0,2.40,15.40
2016,7,31,4,25,0,2.23,15.40
